problem_id,title,field,short_description,notability,attribution,solved,familiar_mathematicians,attempted_mathematicians,time_horizon,notability_survey,published,likelihood_novel_math,solvability
apery-irrationality,Apéry-style Irrationality Proofs,Number Theory,Adapt Apéry's proof of the irrationality of $\zeta(3)$ to other constants.,Breakthrough,,False,a majority of those working on a specialized topic (≈10),5–10,1–3 years,a major advance in a broader field; one of the best results of the year,in a leading general journal,fairly likely: the problem is rich enough that most solutions should open new avenues,40-60%
arithmetic-kakeya,The Arithmetic Kakeya Conjecture,Number Theory,Improve best-known upper bounds by constructing specific combinatorial objects.,Solid result,Thomas Bloom,False,a majority of those working in a subfield (≈100),5–10,1–4 weeks,a solid result in a subfield,in a strong specialty journal,"somewhat likely: an especially innovative solution could, but is hardly guaranteed",40-60%
degree-sensitivity-boolean,Degree vs Sensitivity for Boolean Functions,Combinatorics,Improve the exponent in the upper bound that degree has over sensitivity.,Solid result,,False,a majority of those working on a specialized topic (≈10),5–10,1–4 weeks,a solid result in a subfield,in a standard specialty journal,"somewhat likely: an especially innovative solution could, but is hardly guaranteed",40-60%
explicit-deformations,Explicit Deformations of Algebras,Algebraic Geometry,Find explicit deformations from curvilinear algebras to monomial algebras.,Solid result,Gergely Berczi,False,a majority of those working on a specialized topic (≈10),2–4,3–12 months,a solid result in a subfield,in a standard specialty journal,fairly likely: the problem is rich enough that most solutions should open new avenues,80–95%
inverse-galois,Inverse Galois,Number Theory,Find a polynomial whose Galois group is the Mathieu group $M_{23}$.,Major advance,Epoch Staff,False,a majority of those working in a subfield (≈100),5–10,3–12 months,a major advance in a subfield,in a strong specialty journal,fairly likely: the problem is rich enough that most solutions should open new avenues,95-99%
klt-del-pezzo-surface,Surface with a High Number of Singularities,Algebraic Geometry,Present a KLT del Pezzo surface in characteristic 3 with more than 7 singular points.,Solid result,Paolo Cascini,False,a majority of those working in a subfield (≈100),5–10,3–12 months,a solid result in a subfield,in a strong specialty journal,fairly likely: the problem is rich enough that most solutions should open new avenues,60–80%
large-steiner-systems,Large Steiner Systems,Combinatorics,"Construct an $(n,q,r)$-Steiner system with $n > q > r > 5$, $r < 10$, and $n < 200$.",Solid result,Kunal Marwaha,False,a majority of those working on a specialized topic (≈10),2–4,3–12 months,a solid result in a subfield,in a standard specialty journal,fairly likely: the problem is rich enough that most solutions should open new avenues,60–80%
prime-factorization,Prime Factorization,Number Theory,Improve the constant factor in the exponent of GNFS.,Breakthrough,Epoch Staff,False,a majority of those working in a subfield (≈100),10–50,3–10 years,a major advance in a broader field; one of the best results of the year,in a leading general journal,very likely: any solution would lead to a rich set of follow-on work,80–95%
q2-absolute-galois,The $2$-adic Absolute Galois Group,Number Theory,Give a presentation for the absolute Galois group of the field of $2$-adic numbers as a profinite group.,Solid result,David Roe,False,a majority of those working on a specialized topic (≈10),2–4,1–3 months,a solid result in a subfield,in a standard specialty journal,"somewhat likely: an especially innovative solution could, but is hardly guaranteed",95-99%
ramsey-book-graphs,Ramsey Numbers for Book Graphs,Combinatorics,Prove a tight lower bound on Ramsey numbers for a class of off-diagonal book graphs.,Moderately interesting,William J. Wesley,False,2–4 mathematicians,2–4,1–4 weeks,moderately interesting,in a standard specialty journal,"somewhat likely: an especially innovative solution could, but is hardly guaranteed",80–95%
ramsey-hypergraphs,A Ramsey-style Problem on Hypergraphs,Combinatorics,"Construct hypergraphs as large as possible that do not have a certain easy-to-check, difficult-to-find property.",Moderately interesting,Will Brian,False,a majority of those working on a specialized topic (≈10),5–10,1–3 months,moderately interesting,in a standard specialty journal,fairly likely: the problem is rich enough that most solutions should open new avenues,95-99%
stretched-lr-coefficients,Stretched Littlewood-Richardson Coefficients,Combinatorics,"Find partitions whose stretched LR-coefficients, when expressed as a polynomial, have a negative coefficient.",Major advance,,False,a majority of those working in a subfield (≈100),5–10,1–3 years,a major advance in a subfield,in a leading general journal,"somewhat likely: an especially innovative solution could, but is hardly guaranteed",60-80%
symplectic-ball-packing,Symplectic Ball Packing,Topology / Geometry,"Find explicit embeddings of symplectic balls into a single target ball, taking up all but $\epsilon$ of the target ball's volume.",Major advance,Kyler Siegel,False,a majority of those working on a specialized topic (≈10),5–10,1–3 months,a major advance in a subfield,in a top journal for the field,fairly likely: the problem is rich enough that most solutions should open new avenues,60–80%
unknotting-number,Unknotting Number = 1,Topology / Geometry,Devise an algorithm that decides whether a knot has unknotting number equal to 1.,Breakthrough,Joel Hass,False,a majority of those working in a subfield (≈100),10–50,3–10 years,a major advance in a broader field; one of the best results of the year,in a leading general journal,very likely: any solution would lead to a rich set of follow-on work,80–95%
